accountId,ageInDays,agentFee,aggressiveness,averageDayLoss,averageDayProfit,averageLeverage,averageReturnDay,averageReturnHalfYear,averageReturnMonth,averageReturnQuarterYear,averageReturnWeek,averageReturnYear,capital,capitalUsd,currentDrawdown,daysMonitoringOverall,daysWithLoss,daysWithProfit,downsideDeviation,efficiency,efficiency1,efficiency2,equity,equityManager,equityManagerUsd,equityUsd,factorHalfYear,factorMonth,factorOverall,factorQuarterYear,factorWeek,factorYear,id,investmentsDay,investmentsHalfYear,investmentsMonth,investmentsOverall,investmentsQuarterYear,investmentsWeek,investmentsYear,kalmarOverall,lossDayPercent,maxDayLoss,maxDayProfit,maxDrawdownHalfYear,maxDrawdownMonth,maxDrawdownOverall,maxDrawdownQuarterYear,maxDrawdownWeek,maxDrawdownYear,maxLeverage,maxLeverageHalfYear,maxLeverageMonth,maxLeverageQuarter,maxLeverageWeek,maxLeverageYear,maxProfitHalfYear,maxProfitMonth,maxProfitOverall,maxProfitQuarterYear,maxProfitWeek,maxProfitYear,meanSquareDeviation,numberActiveInvestmentAccounts,profitVolatility,rating,rating1,rating2,rating3,returnDay,returnDeviationDay,returnDeviationHalfYear,returnDeviationMonth,returnDeviationQuarterYear,returnDeviationWeek,returnDeviationYear,returnHalfYear,returnMonth,returnOverall,returnQuarterYear,returnRisk,returnWeek,returnYear,rolloversNumber,sharpOverall,showDeclarationHistory,shvagerOverall,sortinoOverall,stars,stars1,stars2,tradeResult,tradeResultOriginal,tradeResultUsd,volatilityDownOverall,volatilityHalfYear,volatilityMonth,volatilityOverall,volatilityQuarterYear,volatilityUpOverall,volatilityWeek,volatilityYear
361057,1168,50.0,4,4.46,2.55,56.69,0.57,51.3,7.14,22.99,1.6,128.88,4000,4000.0,15.91,832,124,343,5.41,-7406104.23,35899.0,33504.5,75949.78,4232.64,4232.64,75949.78,0.23,0.72,5.8,0.19,1.32,1.13,361057,11,1261,150,1567,433,76,1567,5.81,26.55,22.64,18.85,35.33,10.89,36.64,33.94,2.63,35.33,237.92,194.56,94.39,194.56,74.97,237.92,45.67,18.91,2251.85,45.67,8.19,95.79,4.87,435,-0.82,1,1,364,364,0.0,4.89,44.53,13.84,25.03,7.16,10.94,10.56,8.68,1310.88,7.98,0.57,3.58,63.91,23,45.11,0,25.39,0.1,5.0,5.0,4.0,-8809,-8809.1,-8809,4.46,7.54,5.49,6.06,7.1,2.55,3.88,7.51
332613,1592,,2,0.43,1.06,4.38,0.09,11.14,1.78,5.42,0.41,23.55,211234,3278.37,6.48,1132,698,385,2.31,-82344.24,35531.5,30266.5,1802583.23,201482.0,3127.02,27976.26,0.07,0.42,6.82,1.22,-0.64,-0.08,332613,2,129,44,3447,102,19,329,6.82,64.45,4.07,13.5,7.79,3.95,12.64,4.35,0.73,12.64,25.05,10.32,9.63,9.73,1.36,10.32,11.37,7.39,189.0,10.37,0.73,11.37,0.99,212,-0.22,2,2,156,156,-0.12,1.29,10.68,5.1,9.49,2.77,20.75,0.61,1.71,151.27,5.59,2.45,-0.47,-1.04,23,73.04,0,-388.36,0.15,4.8,4.8,2.9,10607,683450.22,10607,0.43,0.85,0.94,1.27,0.83,1.06,0.22,0.91
376335,944,15.0,2,1.46,1.55,27.35,0.26,30.38,4.53,14.18,1.02,70.15,3000,3000.0,0.74,672,223,307,3.33,-1312623.13,35444.5,29659.0,97887.32,3077.28,3077.28,97887.32,3.1,0.28,4.73,1.42,1.22,1.44,376335,3,824,185,1369,517,15,1102,4.73,42.08,13.28,9.21,6.69,2.15,25.2,4.78,0.91,11.78,65.08,28.58,8.68,22.83,8.52,32.2,27.27,1.93,301.27,11.42,1.36,31.35,2.33,353,-0.37,3,3,546,546,0.34,2.28,24.96,9.31,20.14,4.32,69.13,23.97,0.61,294.67,7.18,1.06,1.12,19.72,4,47.6,0,78.98,0.11,4.8,4.8,2.7,8195,8195.24,8195,1.46,1.3,0.65,2.93,0.98,1.55,0.66,1.62
372549,1004,,4,2.93,2.66,16.23,0.32,37.61,5.47,17.31,1.23,89.38,3000,3000.0,24.08,714,223,326,5.82,-1002474.12,35362.5,33106.0,80535.48,2284.33,2284.33,80535.48,-0.4,1.41,2.92,2.2,0.65,0.07,372549,6,288,37,4105,102,16,2236,2.92,40.55,15.59,17.08,44.32,6.15,45.25,8.41,4.13,45.25,47.71,17.54,11.98,11.98,11.98,18.59,40.23,11.95,723.35,25.89,6.42,43.06,3.75,392,-0.53,4,4,497,497,0.56,3.88,31.96,13.6,28.05,6.75,56.95,-20.88,9.33,478.96,21.35,0.91,2.76,4.45,2,34.69,0,71.24,0.1,4.8,4.8,3.8,-8980,-8979.67,-8980,2.93,3.54,3.0,5.2,3.07,2.66,3.43,3.28
378361,928,,2,1.05,1.38,4.46,0.23,19.37,2.99,9.26,0.68,42.57,3000,3000.0,1.95,660,185,211,2.97,45555.65,35271.5,30179.0,24529.57,2952.32,2952.32,24529.57,1.03,0.64,5.45,1.8,-0.39,1.34,378361,3,276,58,412,189,37,380,5.45,46.6,7.82,8.97,9.91,2.69,15.23,3.18,2.69,15.13,14.3,6.95,6.1,6.1,6.1,8.69,25.7,4.42,179.98,10.62,1.63,38.2,1.85,123,-0.23,5,5,575,575,-0.83,1.85,18.67,6.25,8.15,3.08,4.86,11.33,1.76,146.07,6.0,1.31,-1.07,24.49,1,36.8,0,98.78,0.15,4.7,4.7,2.9,2851,2851.24,2851,1.05,1.21,1.01,2.48,1.0,1.38,1.14,1.62
349145,1334,30.0,3,1.92,1.68,16.03,0.18,18.73,2.9,8.96,0.66,40.97,3000,3000.0,20.35,948,279,412,6.09,-1466862.0,35231.0,31954.5,54292.37,2599.33,2599.33,54292.37,-0.2,0.65,2.75,-0.09,1.48,-0.2,349145,1,180,81,6823,124,5,659,2.75,40.38,15.79,15.99,31.6,8.53,36.6,30.79,2.54,33.37,68.94,45.77,35.4,45.77,28.87,68.94,28.0,9.27,341.63,28.0,7.98,28.0,2.69,439,-0.34,6,6,263,263,1.44,2.92,22.3,11.36,15.9,5.58,24.92,-7.38,5.97,250.51,-3.15,0.87,3.89,-7.64,2,37.44,0,70.74,0.07,4.7,4.7,3.4,2361,2360.91,2361,1.92,4.02,3.49,3.41,4.56,1.68,3.73,3.78
367902,1069,15.0,3,1.75,1.75,18.18,0.2,28.1,4.21,13.18,0.95,64.08,3003,3003.0,3.83,761,319,419,5.32,-1889767.21,35180.0,32507.0,15400.46,2966.81,2966.81,15400.46,0.47,1.58,4.1,0.67,-0.45,1.07,367902,2,305,63,558,107,15,397,4.11,43.11,18.5,13.4,28.1,3.85,29.75,23.53,2.69,29.2,110.87,55.85,38.35,55.85,19.29,110.87,36.81,12.12,405.93,36.81,2.61,93.55,3.1,99,-0.4,7,7,438,438,-1.35,2.75,26.66,11.14,11.51,5.51,8.3,16.82,6.4,325.72,19.75,1.0,-1.22,44.61,23,41.22,0,83.67,0.06,4.7,4.7,3.6,3180,3180.34,3180,1.75,3.27,1.67,3.58,2.95,1.75,1.27,3.05
374843,976,35.0,3,1.77,1.77,25.15,0.25,31.68,4.69,14.75,1.06,73.39,3000,3000.0,26.71,694,248,345,4.87,-2211399.82,34981.0,29304.0,136849.11,4103.33,4103.33,136849.11,-0.28,0.03,4.27,-0.45,-0.66,0.82,374843,1,2491,10,4238,95,4,3258,4.27,41.82,19.38,29.12,28.89,7.31,29.17,11.11,6.68,28.89,81.9,62.28,60.59,60.59,60.59,62.28,31.11,9.93,579.17,9.93,2.87,83.63,2.82,672,-0.41,8,8,531,531,-0.08,3.01,24.51,13.48,21.7,5.34,29.78,-8.96,0.24,335.45,-5.2,1.0,-4.43,32.35,8,41.99,0,73.96,0.09,4.6,4.6,2.6,-19950,-19949.68,-19950,1.77,2.99,2.71,3.57,2.14,1.77,2.81,2.94
379751,908,25.0,2,1.19,1.03,21.02,0.18,19.82,3.06,9.46,0.7,43.6,3000,3000.0,9.34,646,193,320,2.22,-783720.15,34948.5,30049.0,13988.48,2725.14,2725.14,13988.48,-0.55,0.44,4.22,0.4,0.25,0.03,379751,0,40,4,920,8,1,388,4.22,37.62,12.08,6.58,14.29,3.88,19.19,4.65,3.44,14.29,73.75,39.05,8.03,22.19,8.03,39.05,6.38,6.05,188.54,6.08,4.67,15.89,1.85,81,-0.23,9,9,593,593,0.05,1.8,16.25,5.87,12.21,3.06,20.68,-8.2,1.77,145.76,1.91,0.86,0.89,0.42,1,42.5,0,44.8,0.08,4.6,4.6,2.8,2638,2637.57,2638,1.19,1.26,1.05,2.14,0.79,1.03,1.52,1.44
208007,2817,,2,0.52,0.69,13.13,0.12,13.32,2.11,6.45,0.48,28.41,3000,3000.0,3.19,2003,780,875,2.87,-975798.55,34920.5,29122.0,72731.13,3662.55,3662.55,72731.13,-0.21,0.03,3.64,0.06,-0.91,0.26,208007,3,110,40,7252,73,18,275,3.64,47.13,13.22,19.58,8.44,3.09,41.15,4.33,1.97,8.91,124.44,11.47,11.47,11.47,11.11,11.47,9.58,4.42,817.56,4.42,1.07,9.58,1.52,247,-0.46,10,10,39,39,-0.42,1.25,11.93,6.3,11.72,2.41,32.2,-1.85,0.08,587.83,0.26,1.35,-1.8,2.45,16,157.83,0,2028.59,0.1,4.6,4.6,2.6,212677,212677.32,212677,0.52,0.79,0.94,1.23,0.76,0.69,0.78,0.64
